state_id,day,rs,hk,pod,far,month,year
1,1,68,0.4,0.8,0.4,5,2020
2,1,61.7,0.3,0.8,0.6,5,2020
3,1,82.1,0.7,0.9,0.4,5,2020
4,1,88.5,0.6,0.6,0,5,2020
5,1,81.7,0.7,0.9,0.4,5,2020
6,1,82.6,0.5,0.6,0.4,5,2020
7,1,84.6,0.4,0.5,0.4,5,2020
8,1,89.3,0.6,0.6,0.4,5,2020
9,1,82.7,0.3,0.4,0.5,5,2020
10,1,73.7,0.4,0.6,0.5,5,2020
11,1,80.8,0,1,0.2,5,2020
12,1,73.1,0.2,1,0.3,5,2020
13,1,26.9,0,1,0.7,5,2020
14,1,84.6,0.7,0.8,0.1,5,2020
15,1,53.8,0.3,1,0.6,5,2020
16,1,32.7,0,0.9,0.7,5,2020
17,1,57.7,0,1,0.4,5,2020
18,1,61.1,0.1,1,0.4,5,2020
19,1,66.5,0.4,0.8,0.5,5,2020
20,1,76,0.4,0.5,0.4,5,2020
21,1,74.9,0.3,0.5,0.5,5,2020
22,1,78.3,0,0.1,0.9,5,2020
23,1,87.1,0.3,0.4,0.6,5,2020
24,1,99.2,0,0,1,5,2020
25,1,100,0,0,0,5,2020
27,1,81.5,0.3,0.5,0.8,5,2020
28,1,71.7,0.5,0.7,0.8,5,2020
29,1,46,0.2,0.9,0.7,5,2020
30,1,46.2,0.1,0.7,0.9,5,2020
31,1,47.4,0.1,1,0.6,5,2020
32,1,54.1,0,1,0.5,5,2020
33,1,49.9,0.3,0.9,0.8,5,2020
34,1,80.8,0.1,0.3,0.9,5,2020
35,1,58.3,0.2,1,0.5,5,2020
36,1,74.3,0.2,0.4,0.8,5,2020
