state_id,day,rs,hk,pod,far,month,year
1,4,70.1,0.4,0.8,0.4,5,2020
2,4,65.7,0.4,0.8,0.5,5,2020
3,4,73.1,0.4,0.7,0.5,5,2020
4,4,76.9,0.4,0.6,0.4,5,2020
5,4,74,0.6,0.9,0.5,5,2020
6,4,69,0.4,0.7,0.6,5,2020
7,4,76.9,0.5,0.7,0.5,5,2020
8,4,87.4,0.5,0.6,0.5,5,2020
9,4,76.6,0.4,0.6,0.6,5,2020
10,4,53,0.2,0.8,0.7,5,2020
11,4,88.5,0,1,0.1,5,2020
12,4,69.2,0.1,0.9,0.3,5,2020
13,4,38.5,0,1,0.6,5,2020
14,4,61.5,0.2,0.7,0.3,5,2020
15,4,42.3,0.1,1,0.6,5,2020
16,4,26.9,-0.1,0.9,0.7,5,2020
17,4,60.3,0,1,0.4,5,2020
18,4,55.9,0,1,0.4,5,2020
19,4,59.1,0.3,0.9,0.5,5,2020
20,4,66.7,0.3,0.6,0.6,5,2020
21,4,63.8,0.2,0.5,0.7,5,2020
22,4,68.9,0.1,0.4,0.8,5,2020
23,4,85.1,0.2,0.2,0.7,5,2020
24,4,99.2,0,0,1,5,2020
25,4,100,0,0,0,5,2020
27,4,80.1,0.1,0.3,0.9,5,2020
28,4,68,0.2,0.5,0.9,5,2020
29,4,49.1,0.2,0.8,0.7,5,2020
30,4,46.2,-0.2,0.3,1,5,2020
31,4,57.7,0.3,0.9,0.5,5,2020
32,4,56.4,0,1,0.4,5,2020
33,4,53.6,0.2,0.7,0.8,5,2020
34,4,78.8,0,0.2,0.9,5,2020
35,4,60.3,0.1,0.8,0.4,5,2020
36,4,72.1,0,0.2,0.9,5,2020
