state_id,day,rs,hk,pod,far,month,year
1,3,66.1,0.4,0.8,0.4,5,2020
2,3,62,0.3,0.8,0.5,5,2020
3,3,78.2,0.6,0.8,0.4,5,2020
4,3,69.2,0.3,0.5,0.5,5,2020
5,3,76.9,0.6,0.9,0.4,5,2020
6,3,67.7,0.2,0.5,0.6,5,2020
7,3,71.2,0.2,0.3,0.6,5,2020
8,3,87,0.4,0.5,0.5,5,2020
9,3,76.5,0.4,0.6,0.6,5,2020
10,3,54.3,0.2,0.8,0.7,5,2020
11,3,84.6,0,1,0.2,5,2020
12,3,69.2,0.2,1,0.3,5,2020
13,3,30.8,0,1,0.7,5,2020
14,3,76.9,0.5,0.9,0.2,5,2020
15,3,46.2,0.1,1,0.6,5,2020
16,3,34.6,0,0.9,0.7,5,2020
17,3,60.3,0,1,0.4,5,2020
18,3,59,0.1,1,0.4,5,2020
19,3,61.4,0.3,0.9,0.5,5,2020
20,3,70.5,0.3,0.6,0.5,5,2020
21,3,69.2,0.4,0.7,0.6,5,2020
22,3,70.7,0.2,0.4,0.8,5,2020
23,3,86.2,0.1,0.2,0.7,5,2020
24,3,99.6,0,0,0,5,2020
25,3,100,0,0,0,5,2020
27,3,85.1,0.3,0.4,0.8,5,2020
28,3,74.9,0.3,0.6,0.8,5,2020
29,3,51.4,0.2,0.8,0.7,5,2020
30,3,32.7,-0.7,0,1,5,2020
31,3,52.6,0.2,1,0.6,5,2020
32,3,54.5,0,1,0.4,5,2020
33,3,54.3,0.2,0.7,0.8,5,2020
34,3,78.8,-0.1,0,1,5,2020
35,3,60.3,0.1,0.9,0.4,5,2020
36,3,80.5,0.3,0.4,0.7,5,2020
