state_id,day,rs,hk,pod,far,month,year
1,5,62,0.2,0.6,0.4,5,2020
2,5,65.9,0.4,0.8,0.5,5,2020
3,5,69.2,0.2,0.4,0.6,5,2020
4,5,73.1,0.2,0.3,0.5,5,2020
5,5,72.1,0.5,0.7,0.5,5,2020
6,5,70.3,0.3,0.6,0.6,5,2020
7,5,73.1,0.3,0.5,0.6,5,2020
8,5,84.8,0.5,0.7,0.5,5,2020
9,5,78.1,0.4,0.6,0.6,5,2020
10,5,50.2,0.3,0.9,0.7,5,2020
11,5,80.8,0,1,0.2,5,2020
12,5,63.5,0,0.9,0.3,5,2020
13,5,30.8,0,1,0.7,5,2020
14,5,76.9,0.5,0.9,0.2,5,2020
15,5,38.5,0,1,0.6,5,2020
16,5,38.5,0,0.9,0.7,5,2020
17,5,61.5,0,1,0.4,5,2020
18,5,60.2,0,1,0.4,5,2020
19,5,58.9,0.3,0.9,0.5,5,2020
20,5,60.3,0.2,0.5,0.6,5,2020
21,5,59.7,0.1,0.5,0.7,5,2020
22,5,67.7,0,0.3,0.8,5,2020
23,5,84.3,0.1,0.1,0.8,5,2020
24,5,98.8,0,0,1,5,2020
25,5,96.2,0,0,1,5,2020
27,5,83,0.1,0.3,0.8,5,2020
28,5,58.7,0.1,0.5,0.9,5,2020
29,5,46.3,0.2,0.9,0.7,5,2020
30,5,50,-0.2,0.3,1,5,2020
31,5,62.8,0.3,0.8,0.5,5,2020
32,5,55.8,0,1,0.4,5,2020
33,5,50.1,0.2,0.8,0.8,5,2020
34,5,73.1,-0.2,0,1,5,2020
35,5,59.6,0.1,0.8,0.4,5,2020
36,5,73.5,0.1,0.3,0.9,5,2020
