10562,23JUN2020,0.0
10562,24JUN2020,3.5
10562,25JUN2020,6.4
10571,23JUN2020,2.3
10571,24JUN2020,7.6
10571,25JUN2020,2.2
10558,23JUN2020,0.0
10558,24JUN2020,0.0
10558,25JUN2020,5.4
10568,23JUN2020,3.3
10568,24JUN2020,0.0
10568,25JUN2020,3.5
10559,23JUN2020,0.0
10559,24JUN2020,0.0
10559,25JUN2020,22.4
10569,23JUN2020,2.0
10569,24JUN2020,0.0
10569,25JUN2020,2.1
10564,23JUN2020,1.6
10564,24JUN2020,6.9
10564,25JUN2020,10.7
10563,23JUN2020,0.0
10563,24JUN2020,6.4
10563,25JUN2020,18.3
10566,23JUN2020,0.0
10566,24JUN2020,3.3
10566,25JUN2020,6.9
10570,23JUN2020,0.5
10570,24JUN2020,0.2
10570,25JUN2020,8.700000000000001
10560,23JUN2020,2.0
10560,24JUN2020,0.0
10560,25JUN2020,2.1
10561,23JUN2020,0.0
10561,24JUN2020,3.5
10561,25JUN2020,6.4
10565,23JUN2020,1.6
10565,24JUN2020,6.9
10565,25JUN2020,10.7
10567,23JUN2020,0.0
10567,24JUN2020,4.4
10567,25JUN2020,10.3
10049,23JUN2020,0.5
10049,24JUN2020,0.2
10049,25JUN2020,8.700000000000001
10557,23JUN2020,1.6
10557,24JUN2020,6.9
10557,25JUN2020,10.7
10298,23JUN2020,0.0
10298,24JUN2020,0.6
10298,25JUN2020,2.7
10299,23JUN2020,0.0
10299,24JUN2020,0.4
10299,25JUN2020,5.9
10308,23JUN2020,0.0
10308,24JUN2020,0.0
10308,25JUN2020,9.7
10310,23JUN2020,0.0
10310,24JUN2020,1.5
10310,25JUN2020,8.6
10311,23JUN2020,0.0
10311,24JUN2020,1.5
10311,25JUN2020,8.6
10302,23JUN2020,1.0
10302,24JUN2020,0.0
10302,25JUN2020,1.7
10300,23JUN2020,0.4
10300,24JUN2020,0.0
10300,25JUN2020,1.6
10304,23JUN2020,1.4
10304,24JUN2020,3.9
10304,25JUN2020,0.0
10309,23JUN2020,0.0
10309,24JUN2020,0.6
10309,25JUN2020,2.7
10307,23JUN2020,0.0
10307,24JUN2020,1.5
10307,25JUN2020,8.6
10301,23JUN2020,1.0
10301,24JUN2020,0.0
10301,25JUN2020,1.7
10306,23JUN2020,0.0
10306,24JUN2020,2.0
10306,25JUN2020,3.2
10305,23JUN2020,0.0
10305,24JUN2020,0.0
10305,25JUN2020,2.7
10035,23JUN2020,2.3
10035,24JUN2020,0.0
10035,25JUN2020,1.3
10303,23JUN2020,0.0
10303,24JUN2020,0.0
10303,25JUN2020,2.7
10031,23JUN2020,0.0
10031,24JUN2020,5.5
10031,25JUN2020,1.1
10256,23JUN2020,0.0
10256,24JUN2020,0.0
10256,25JUN2020,23.7
10265,23JUN2020,0.0
10265,24JUN2020,0.0
10265,25JUN2020,23.7
10262,23JUN2020,0.1
10262,24JUN2020,3.2
10262,25JUN2020,13.5
10261,23JUN2020,3.6
10261,24JUN2020,0.0
10261,25JUN2020,0.0
10259,23JUN2020,0.7
10259,24JUN2020,0.0
10259,25JUN2020,3.2
