S NO,STATION_NUMBER,DISTRICT_NAME,BLOCK,LOCATION,LONGITUDE,LATITUDE,STATION_TYPE,TIME,cloudiness,Humidity (%),RAIN (mm),TEMPERATURE (C),Wind Direction (Deg),Wind Speed (m/s)
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,68.9,0,31.4,92.3,5.8
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.8,46.1,13.5,40.7,60.4,5.6
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.9,83.2,0,29.6,103.7,6.1
128,10517,East Champaran,Dhaka,Karmawa,85.217601,26.696243,TRG,22JUN2020 1730 IST (12 hr FCST),0.6,47.1,0,37.7,123.9,8
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.7,0,30.2,99,6.2
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,38.4,1.9,39.6,103.1,4.8
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,69.8,0,31.3,92.8,5.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.8,53.5,11.8,41.6,64.7,8.3
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.9,82.5,0,29.6,103.9,5.8
129,10506,East Champaran,Dhaka,Karshiya,85.156119,26.720655,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,45.6,0,37.9,138.6,5.3
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.6,0,30.2,98.2,6.1
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,38.3,4.6,39.5,126.3,5.7
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,69.4,2.1,31.3,94.3,5.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.9,44.6,3.6,39.9,51.5,5.4
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.9,82.4,0,29.7,107.8,6
130,10508,East Champaran,Dhaka,Kharua Chainpur,85.177348,26.752828,TRG,22JUN2020 1730 IST (12 hr FCST),0.9,45.2,0,37.8,133.1,6.6
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.5,0,30.2,99.8,6.2
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,38.8,1,39.5,110.4,5.5
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,68.9,0,31.4,94.4,6
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.9,51.5,27,40.8,58.9,5.8
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.9,82.8,0,29.6,108.4,5.9
131,10502,East Champaran,Dhaka,Malkoniya,85.20826,26.67393,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,46.4,0,37.5,123.5,7.2
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,74.2,0,30.2,97,5.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.8,36.5,1,39.3,117.4,4.5
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,69.4,0,31.4,90.8,6.1
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),1,44.5,6.3,41.1,58.8,5.8
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.9,83,0,29.6,98.2,6.1
132,10516,East Champaran,Dhaka,Padari,85.22878,26.70996,TRG,22JUN2020 1730 IST (12 hr FCST),0.6,47.1,0,37.7,123.9,8
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.7,0,30.2,99,6.2
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,38.4,1.9,39.6,103.1,4.8
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,69.8,0,31.3,92.8,5.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.8,53.5,11.8,41.6,64.7,8.3
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.9,82.5,0,29.6,103.9,5.8
133,10499,East Champaran,Dhaka,Panchpakri,85.219482,26.641188,TRG,22JUN2020 1730 IST (12 hr FCST),0.7,47.1,0,37.5,115.8,7.2
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.9,0,30.2,97.3,5.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.9,36.7,0,39.4,117.7,5.3
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,69.7,0,31.4,91,6.1
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.8,48.6,0,41.4,56.5,9.3
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.9,82.2,0,29.6,98.3,5.9
134,10513,East Champaran,Dhaka,Telhra kala,85.214054,26.734445,TRG,22JUN2020 1730 IST (12 hr FCST),0.7,46.6,0,37.8,131.2,8.3
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.7,0,30.2,100.5,6.1
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,38.5,0,39.5,100.2,5
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,69.1,0,31.4,95,6.1
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.9,52.8,18.7,41.7,69.8,7.5
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.9,82.1,0,29.7,108.1,5.8
135,10500,East Champaran,Dhaka,jhitkahi,85.244655,26.65254,TRG,22JUN2020 1730 IST (12 hr FCST),0.7,47.1,0,37.5,115.8,7.2
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.9,0,30.2,97.3,5.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.9,36.7,0,39.4,117.7,5.3
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,69.7,0,31.4,91,6.1
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.8,48.6,0,41.4,56.5,9.3
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.9,82.2,0,29.6,98.3,5.9
136,10523,East Champaran,Ghorasahan,Bagahi Bhelwa,85.106106,26.778851,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,45.5,0,37.9,144.3,6
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,73.1,0,30.3,96.8,5.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,39.5,9.3,39.5,112.1,2.8
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,69,1.7,31.3,96.7,5.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.9,41.7,1,40.7,67.2,5.1
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,81.3,0,29.9,110.1,6
137,10525,East Champaran,Ghorasahan,Barwa Kala,85.104543,26.817491,TRG,22JUN2020 1730 IST (12 hr FCST),0.6,45.1,0,37.9,144.9,6.5
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,73,0,30.3,97,5.7
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,38.2,5.1,39.6,107.3,2.6
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,68.4,0,31.4,98.4,5.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),1,42.5,1,40.9,73.4,4.8
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,80.5,0,29.9,112.9,5.9
138,10045,East Champaran,Ghorasahan,Ghorasahan,85.130824,26.79706,TWS,22JUN2020 1730 IST (12 hr FCST),0.8,45,2,37.8,142.8,6.1
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.7,0,30.2,98.8,5.6
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,37.9,2,39.6,110,3.8
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,68.5,0,31.4,98.3,5.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),1,47.8,9.6,39.7,64.2,5
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,81.2,0,29.8,111.8,6
139,10532,East Champaran,Ghorasahan,Ghorasahan North,85.133754,26.840797,TRG,22JUN2020 1730 IST (12 hr FCST),1,44.6,4.8,37.9,140.1,6.4
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.9,0,30.2,97.9,5.4
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,41.8,5.5,39.7,52.2,3.9
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,69.4,0,31.2,98.9,5.8
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),1,46,6.3,40.5,71.9,5.5
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,80.8,0,29.9,112.5,5.8
140,10521,East Champaran,Ghorasahan,Gurmiya,85.093185,26.762312,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,45.5,0,37.9,144.3,6
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,73.1,0,30.3,96.8,5.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,39.5,9.3,39.5,112.1,2.8
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,69,1.7,31.3,96.7,5.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.9,41.7,1,40.7,67.2,5.1
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,81.3,0,29.9,110.1,6
141,10531,East Champaran,Ghorasahan,Jharowar,85.179165,26.862929,TRG,22JUN2020 1730 IST (12 hr FCST),1,43.1,0,37.8,126.6,6.7
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.6,0,30.2,98.1,5.4
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,41,6.5,39.3,83.8,3.8
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,69.7,0,31.2,99.6,5.8
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),1,48.7,9.2,41.3,68.1,5.9
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,80.6,0,29.9,111,5.8
142,10520,East Champaran,Ghorasahan,Kadamwa,85.113913,26.788419,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,45.5,0,37.9,144.3,6
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,73.1,0,30.3,96.8,5.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,39.5,9.3,39.5,112.1,2.8
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,69,1.7,31.3,96.7,5.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.9,41.7,1,40.7,67.2,5.1
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,81.3,0,29.9,110.1,6
143,10529,East Champaran,Ghorasahan,Kawaiya,85.169892,26.838557,TRG,22JUN2020 1730 IST (12 hr FCST),1,43.1,0,37.8,126.6,6.7
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.6,0,30.2,98.1,5.4
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,41,6.5,39.3,83.8,3.8
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,69.7,0,31.2,99.6,5.8
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),1,48.7,9.2,41.3,68.1,5.9
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,80.6,0,29.9,111,5.8
144,10526,East Champaran,Ghorasahan,Laukhan,85.138523,26.758356,TRG,22JUN2020 1730 IST (12 hr FCST),0.7,44.9,0,37.9,145.2,5.7
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,73.2,0,30.3,98.8,6.1
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,38.8,1.8,39.4,116,5.6
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,68.3,0,31.4,96.6,5.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.9,42.2,0,40.6,55.6,4.7
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.9,80.9,0,29.9,110.2,6.1
145,10528,East Champaran,Ghorasahan,Samanpur,85.185913,26.78523,TRG,22JUN2020 1730 IST (12 hr FCST),0.9,43.9,0,37.8,135.6,6.3
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.4,0,30.2,100.6,6
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.9,38.4,0.5,39.4,117.7,6.8
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,68.5,0,31.4,96.6,5.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),1,45.8,3.1,40.2,59.6,5.5
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.9,81,0,29.9,109.8,6
146,10527,East Champaran,Ghorasahan,Sri Pur,85.1775,26.797514,TRG,22JUN2020 1730 IST (12 hr FCST),1,44.2,3.4,37.8,133.1,6.2
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,74,0,30.1,100,5.6
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.8,38.1,2.1,39.3,124.7,5.7
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,69.1,0,31.3,98.6,5.8
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),1,50.5,4.7,40.3,59.7,5.8
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,80.9,0,29.9,110.4,5.9
147,10522,East Champaran,Ghorasahan,Vijai,85.088202,26.79917,TRG,22JUN2020 1730 IST (12 hr FCST),0.6,45.1,0,37.9,144.9,6.5
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,73,0,30.3,97,5.7
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,38.2,5.1,39.6,107.3,2.6
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,68.4,0,31.4,98.4,5.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),1,42.5,1,40.9,73.4,4.8
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,80.5,0,29.9,112.9,5.9
148,10530,East Champaran,Ghorasahan,Vishanpur,85.150425,26.850633,TRG,22JUN2020 1730 IST (12 hr FCST),1,44.6,4.8,37.9,140.1,6.4
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.9,0,30.2,97.9,5.4
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,41.8,5.5,39.7,52.2,3.9
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,69.4,0,31.2,98.9,5.8
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),1,46,6.3,40.5,71.9,5.5
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,80.8,0,29.9,112.5,5.8
149,10291,East Champaran,Harsidhi,Bairiyadih,84.767296,26.674717,TRG,22JUN2020 1730 IST (12 hr FCST),1,47.7,0,37.7,120.2,7.5
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,72.1,0,30.6,90.3,5
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,38.3,1.6,39.6,104.1,5.1
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.3,67.9,0,31.7,95.7,5.7
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.6,40.2,1.4,40.9,351.9,4.6
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,85.8,0,29.6,103.5,5.1
150,10290,East Champaran,Harsidhi,Bhada,84.725842,26.516641,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,46,0.8,37,93.7,5.9
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.7,0,30.2,88.8,4.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,36.4,0.6,39.5,126.1,4.3
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,69.1,0,31.8,93.8,5.7
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),1,40.7,16.1,41.6,174.8,4.1
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,86.4,0,29.6,100.9,5
151,10288,East Champaran,Harsidhi,Charhiya,84.671759,26.571666,TRG,22JUN2020 1730 IST (12 hr FCST),0.7,47,2.5,37.3,103.9,6.3
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,73.9,0,30.2,88.7,4.8
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,35.7,0,39.8,133.5,3.8
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.3,68.8,0.4,31.7,94.8,5.5
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.7,38,4.6,41.4,76.9,1.9
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,85.9,0,29.7,101.9,5.4
152,10284,East Champaran,Harsidhi,Ghiwadhar,84.690893,26.586283,TRG,22JUN2020 1730 IST (12 hr FCST),0.7,47,2.5,37.3,103.9,6.3
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,73.9,0,30.2,88.7,4.8
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,35.7,0,39.8,133.5,3.8
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.3,68.8,0.4,31.7,94.8,5.5
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.7,38,4.6,41.4,76.9,1.9
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,85.9,0,29.7,101.9,5.4
153,10296,East Champaran,Harsidhi,Harpur Ray,84.76946,26.577196,TRG,22JUN2020 1730 IST (12 hr FCST),1,48.8,3.4,37,94.3,6.4
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,73.8,0,30.3,92.3,4.8
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.9,35.6,0,39.6,120.2,4.3
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,69.1,1.5,31.7,94,5.5
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),1,40,15.4,41.1,273.2,0.6
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,86.6,0,29.5,97.3,4.8
154,10033,East Champaran,Harsidhi,Harsidhi,84.71882,26.67268,TWS,22JUN2020 1730 IST (12 hr FCST),1,46.8,0,37.6,124.5,6.5
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,71.9,0,30.6,90.9,5.2
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,37.4,0,39.5,111.6,5
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.2,67.6,0,31.7,96.6,5.7
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.6,39.9,1.4,41.3,13.8,4.7
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,85.8,0,29.6,105.2,5.3
155,10294,East Champaran,Harsidhi,Harsidhi pakadiya,84.722903,26.646628,TRG,22JUN2020 1730 IST (12 hr FCST),1,46.8,0,37.6,124.5,6.5
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,71.9,0,30.6,90.9,5.2
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,37.4,0,39.5,111.6,5
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.2,67.6,0,31.7,96.6,5.7
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.6,39.9,1.4,41.3,13.8,4.7
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,85.8,0,29.6,105.2,5.3
156,10289,East Champaran,Harsidhi,Jagapakad,84.706497,26.565569,TRG,22JUN2020 1730 IST (12 hr FCST),0.7,47,2.5,37.3,103.9,6.3
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,73.9,0,30.2,88.7,4.8
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,35.7,0,39.8,133.5,3.8
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.3,68.8,0.4,31.7,94.8,5.5
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.7,38,4.6,41.4,76.9,1.9
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,85.9,0,29.7,101.9,5.4
157,10286,East Champaran,Harsidhi,Kanchedwa,84.689259,26.685787,TRG,22JUN2020 1730 IST (12 hr FCST),1,45.1,0,37.7,131.2,6.7
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,71.5,0,30.7,91.5,5.2
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,38,4.7,39.8,109.9,4
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.2,68,0,31.6,98.7,5.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.6,40,2.2,41.2,42.8,4.2
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,85.9,0,29.6,108.5,5.5
158,10287,East Champaran,Harsidhi,Kritipur,84.656209,26.60137,TRG,22JUN2020 1730 IST (12 hr FCST),0.9,46.7,0.4,37.7,114.9,7.2
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,72.5,0,30.5,89.6,5.1
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.7,35.5,0,39.9,124.3,4
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.2,67.8,0,31.8,96.4,5.7
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.7,42.9,22.8,41.3,23.8,3.8
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,86.4,0,29.6,104.2,5.6
159,10283,East Champaran,Harsidhi,Manikpur Hasuaha,84.743472,26.589331,TRG,22JUN2020 1730 IST (12 hr FCST),1,47.3,4.2,37.2,99.3,5.8
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,74.1,0,30.2,89.9,4.7
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,35.1,0,39.8,117.6,4.1
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,69,1,31.7,94.6,5.5
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.8,39.7,14.7,41.6,59.2,0.9
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,86.6,0,29.6,99.2,5.1
160,10282,East Champaran,Harsidhi,Mathlohiyar,84.689259,26.685787,TRG,22JUN2020 1730 IST (12 hr FCST),1,45.1,0,37.7,131.2,6.7
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,71.5,0,30.7,91.5,5.2
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,38,4.7,39.8,109.9,4
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.2,68,0,31.6,98.7,5.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.6,40,2.2,41.2,42.8,4.2
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,85.9,0,29.6,108.5,5.5
161,10285,East Champaran,Harsidhi,Matiyariya,84.712876,26.601041,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,46.4,0,37.6,117.7,6.7
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,72.7,0,30.4,90,5
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.8,35.1,0,39.7,121.3,3.9
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.3,67.9,0,31.8,95.7,5.7
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.7,39.2,5,41.8,18.7,4
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,86,0,29.6,102.8,5.4
162,10295,East Champaran,Harsidhi,Murarpur,84.789154,26.585493,TRG,22JUN2020 1730 IST (12 hr FCST),1,48.8,3.4,37,94.3,6.4
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,73.8,0,30.3,92.3,4.8
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.9,35.6,0,39.6,120.2,4.3
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,69.1,1.5,31.7,94,5.5
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),1,40,15.4,41.1,273.2,0.6
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,86.6,0,29.5,97.3,4.8
163,10297,East Champaran,Harsidhi,Olha mehata tola,84.754028,26.569845,TRG,22JUN2020 1730 IST (12 hr FCST),1,47.3,4.2,37.2,99.3,5.8
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,74.1,0,30.2,89.9,4.7
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,35.1,0,39.8,117.6,4.1
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.4,69,1,31.7,94.6,5.5
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.8,39.7,14.7,41.6,59.2,0.9
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,86.6,0,29.6,99.2,5.1
164,10292,East Champaran,Harsidhi,Panapur Ranjita,84.73852,26.698972,TRG,22JUN2020 1730 IST (12 hr FCST),1,45.9,0,37.6,133.8,6.7
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,71.7,0,30.7,90.1,4.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,38.5,1.9,39.7,108,5.6
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.2,67.4,0,31.7,98.2,5.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.6,42.5,12.2,41.1,10.1,3.6
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,86.2,0,29.6,106.7,5.4
165,10234,East Champaran,Harsidhi,Sanbrsa,86.987736,26.229103,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,57.4,0,36.1,111.3,5.2
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,89,0,28.2,92.6,3.8
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,52,0,37.2,77.1,5.8
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),1,94.4,50.2,28.3,91.5,4.3
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.7,74.1,10.3,31.2,83.6,6.7
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,97.3,47.1,26.8,78.4,7.6
166,10281,East Champaran,Harsidhi,Ujain lohiyar,84.756676,26.612043,TRG,22JUN2020 1730 IST (12 hr FCST),1,46.5,0,37.7,114.5,6.2
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,72.8,0,30.4,90.7,4.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.7,35.2,0,39.7,120.8,4.2
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.3,68,0,31.8,95.3,5.7
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.7,38.6,1.3,41.3,18.6,4.4
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,85.9,0,29.6,101,5.2
167,10293,East Champaran,Harsidhi,Yadavpur,84.689259,26.685787,TRG,22JUN2020 1730 IST (12 hr FCST),1,45.1,0,37.7,131.2,6.7
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),1,71.5,0,30.7,91.5,5.2
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,38,4.7,39.8,109.9,4
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.2,68,0,31.6,98.7,5.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.6,40,2.2,41.2,42.8,4.2
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,85.9,0,29.6,108.5,5.5
168,10356,East Champaran,Kalyanpur,Badaharwa Mahanand,84.946959,26.413639,TRG,22JUN2020 1730 IST (12 hr FCST),1,45,0,37.7,144,6.1
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.9,0,30.2,93.8,5.4
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,36.1,0.7,39.6,125.7,3.2
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,70.8,0,31.6,91.3,5.6
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.3,44,9.4,40,82.2,4
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),1,86.1,0,29.5,101.8,4.9
169,10366,East Champaran,Kalyanpur,Bakhari,84.904661,26.430664,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,46.5,0,37.6,147.2,7.2
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.9,73.8,0,30.2,93,5.2
